Feature,Importance
price_lag_1,0.25051085695946784
price_roll_mean_7,0.20331552468243533
price_roll_mean_14,0.14008302579206497
price_lag_3,0.11276342897418554
Brent_USD_per_bbl,0.049104470596148746
price_roll_mean_30,0.04823785665118733
brent_lag_1,0.03968234084577555
price_lag_7,0.03902109686523535
WTI_USD_per_bbl,0.02611004637691614
brent_lag_3,0.018993942545765072
wti_lag_1,0.014166187719827082
brent_lag_7,0.009325882022858013
wti_lag_3,0.009006075119751777
month,0.005970911565385651
price_return_1d,0.004223045758739426
price_return_7d,0.004197758642722296
quarter,0.003280388890860303
brent_return_7d,0.00278593959510724
wti_return_7d,0.0027298709908296806
price_roll_std_14,0.0024144936442274563
price_lag_14,0.0023860187072799054
price_roll_std_7,0.002136732687941769
wti_lag_7,0.002127979417747353
price_roll_std_30,0.0019352229896500875
price_lag_30,0.0016136826383549396
wti_return_1d,0.001315990304048158
brent_return_1d,0.0010532252629440637
brent_wti_spread,0.0010334065708442672
dayofweek,0.00047459718169872746
